,index,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
151,239,4,A24,40.03,2.0,3.0,h-2024-07-04_17-05-52.336045_ll_A24_C3.jpg,v-2024-07-04_17-05-52.336045_ll_A24_C3.jpg,-1.0,0.0
152,240,4,A25,30.61,2.0,3.0,h-2024-07-04_17-06-06.823676_ll_A25_C3.jpg,v-2024-07-04_17-06-06.823676_ll_A25_C3.jpg,-1.0,0.0
153,241,4,A26,26.95,2.0,3.0,h-2024-07-04_17-06-21.089342_ll_A26_C3.jpg,v-2024-07-04_17-06-21.089342_ll_A26_C3.jpg,-1.0,0.0
154,242,4,A27,29.39,2.0,3.0,h-2024-07-04_17-06-35.404157_ll_A27_C3.jpg,v-2024-07-04_17-06-35.404157_ll_A27_C3.jpg,-1.0,0.0
155,243,4,A28,54.27,3.0,3.0,h-2024-07-04_17-08-03.222750_ll_A28_C3.jpg,v-2024-07-04_17-08-03.222750_ll_A28_C3.jpg,0.0,1.0
156,245,4,A30,30.04,2.0,3.0,h-2024-07-04_17-08-22.850826_ll_A30_C3.jpg,v-2024-07-04_17-08-22.850826_ll_A30_C3.jpg,-1.0,0.0
157,247,4,A32,23.33,2.0,3.0,h-2024-07-04_17-08-42.539977_ll_A32_C3.jpg,v-2024-07-04_17-08-42.539977_ll_A32_C3.jpg,-1.0,0.0
158,248,4,A33,38.4,2.0,3.0,h-2024-07-04_17-08-57.005306_ll_A33_C3.jpg,v-2024-07-04_17-08-57.005306_ll_A33_C3.jpg,-1.0,0.0
159,250,4,A35,36.3,2.0,3.0,h-2024-07-04_17-09-16.735702_ll_A35_C3.jpg,v-2024-07-04_17-09-16.735702_ll_A35_C3.jpg,-1.0,0.0
160,252,4,A37,36.2,2.0,3.0,h-2024-07-04_17-09-36.131766_ll_A37_C3.jpg,v-2024-07-04_17-09-36.131766_ll_A37_C3.jpg,-1.0,0.0
161,253,4,A38,37.26,2.0,3.0,h-2024-07-04_17-09-55.355422_ll_A38_C3.jpg,v-2024-07-04_17-09-55.355422_ll_A38_C3.jpg,-1.0,0.0
162,255,4,A40,40.25,2.0,3.0,h-2024-07-04_17-10-14.875550_ll_A40_C3.jpg,v-2024-07-04_17-10-14.875550_ll_A40_C3.jpg,-1.0,0.0
163,258,4,A43,17.32,2.0,3.0,h-2024-07-04_17-10-40.802819_ll_A43_C3.jpg,v-2024-07-04_17-10-40.802819_ll_A43_C3.jpg,-1.0,0.0
164,260,4,A45,55.49,3.0,3.0,h-2024-07-04_17-11-01.558707_ll_A45_C3.jpg,v-2024-07-04_17-11-01.558707_ll_A45_C3.jpg,0.0,1.0
165,261,4,A46,40.9,2.0,3.0,h-2024-07-04_17-11-15.905167_ll_A46_C3.jpg,v-2024-07-04_17-11-15.905167_ll_A46_C3.jpg,-1.0,0.0
166,262,4,A47,56.16,3.0,3.0,h-2024-07-04_17-11-30.199839_ll_A47_C3.jpg,v-2024-07-04_17-11-30.199839_ll_A47_C3.jpg,0.0,1.0
167,264,4,A49,68.39,3.0,3.0,h-2024-07-04_17-11-54.527352_ll_A49_C3.jpg,v-2024-07-04_17-11-54.527352_ll_A49_C3.jpg,0.0,1.0
168,265,4,A50,45.03,2.0,3.0,h-2024-07-04_17-12-08.831734_ll_A50_C3.jpg,v-2024-07-04_17-12-08.831734_ll_A50_C3.jpg,-1.0,0.0
169,266,4,A51,57.86,3.0,3.0,h-2024-07-04_17-12-23.255312_ll_A51_C3.jpg,v-2024-07-04_17-12-23.255312_ll_A51_C3.jpg,0.0,1.0
170,267,4,A52,72.93,3.0,3.0,h-2024-07-04_17-14-51.757004_ll_A52_C3.jpg,v-2024-07-04_17-14-51.757004_ll_A52_C3.jpg,0.0,1.0
171,271,4,A56,61.09,3.0,3.0,h-2024-07-04_17-15-21.693055_ll_A56_C3.jpg,v-2024-07-04_17-15-21.693055_ll_A56_C3.jpg,0.0,1.0
172,273,4,A58,48.18,2.0,3.0,h-2024-07-04_17-15-41.079939_ll_A58_C3.jpg,v-2024-07-04_17-15-41.079939_ll_A58_C3.jpg,-1.0,0.0
173,274,4,A59,62.88,3.0,3.0,h-2024-07-04_17-17-22.754796_ll_A59_C3.jpg,v-2024-07-04_17-17-22.754796_ll_A59_C3.jpg,0.0,1.0
174,275,4,A60,54.94,3.0,3.0,h-2024-07-04_17-17-37.058072_ll_A60_C3.jpg,v-2024-07-04_17-17-37.058072_ll_A60_C3.jpg,0.0,1.0
175,276,4,A61,32.43,2.0,3.0,h-2024-07-04_17-17-51.398611_ll_A61_C3.jpg,v-2024-07-04_17-17-51.398611_ll_A61_C3.jpg,-1.0,0.0
176,277,4,A62,37.36,2.0,3.0,h-2024-07-04_17-18-05.838001_ll_A62_C3.jpg,v-2024-07-04_17-18-05.838001_ll_A62_C3.jpg,-1.0,0.0
177,278,4,A63,67.05,3.0,3.0,h-2024-07-04_17-18-20.328150_ll_A63_C3.jpg,v-2024-07-04_17-18-20.328150_ll_A63_C3.jpg,0.0,1.0
178,279,4,A64,35.15,2.0,3.0,h-2024-07-04_17-18-34.757907_ll_A64_C3.jpg,v-2024-07-04_17-18-34.757907_ll_A64_C3.jpg,-1.0,0.0
179,280,4,A65,49.22,2.0,3.0,h-2024-07-04_17-18-54.156231_ll_A65_C3.jpg,v-2024-07-04_17-18-54.156231_ll_A65_C3.jpg,-1.0,0.0
180,283,4,A68,40.29,2.0,3.0,h-2024-07-04_17-19-18.672070_ll_A68_C3.jpg,v-2024-07-04_17-19-18.672070_ll_A68_C3.jpg,-1.0,0.0
181,284,4,A69,52.57,3.0,3.0,h-2024-07-04_17-19-33.137706_ll_A69_C3.jpg,v-2024-07-04_17-19-33.137706_ll_A69_C3.jpg,0.0,1.0
182,286,4,A71,41.0,2.0,3.0,h-2024-07-04_17-19-52.669304_ll_A71_C3.jpg,v-2024-07-04_17-19-52.669304_ll_A71_C3.jpg,-1.0,0.0
183,287,4,A72,31.15,2.0,3.0,h-2024-07-04_17-20-06.964143_ll_A72_C3.jpg,v-2024-07-04_17-20-06.964143_ll_A72_C3.jpg,-1.0,0.0
